player_id,age
00-0000017,0
00-0000065,3
00-0000097,2
00-0000100,3
00-0000136,3
00-0000147,0
00-0000204,5
00-0000261,3
00-0000405,2
00-0000426,2
00-0000439,7
00-0000500,2
00-0000551,5
00-0000585,4
00-0000601,2
00-0000673,4
00-0000741,6
00-0000743,1
00-0000829,2
00-0000846,2
00-0000939,0
00-0001058,3
00-0001068,1
00-0001100,4
00-0001176,3
00-0001232,3
00-0001266,1
00-0001388,1
00-0001427,1
00-0001481,3
00-0001544,0
00-0001563,2
00-0001566,0
00-0001611,1
00-0001630,1
00-0001658,0
00-0001676,0
00-0001707,1
00-0001713,4
00-0001760,2
00-0001820,6
00-0001833,4
00-0001887,6
00-0001934,0
00-0001940,1
00-0001953,2
00-0002090,1
00-0002123,4
00-0002138,0
00-0002166,2
00-0002185,3
00-0002186,3
00-0002294,5
00-0002312,3
00-0002328,0
00-0002377,2
00-0002424,2
00-0002493,1
00-0002518,1
00-0002688,1
00-0002722,5
00-0002742,4
00-0002748,1
00-0002908,0
00-0002919,1
00-0002928,0
00-0003111,0
00-0003112,0
00-0003140,3
00-0003187,0
00-0003230,5
00-0003231,0
00-0003239,0
00-0003264,0
00-0003338,0
00-0003516,0
00-0003547,2
00-0003572,3
00-0003597,1
00-0003661,4
00-0003738,0
00-0003838,0
00-0003874,6
00-0003888,2
00-0003897,1
00-0003902,1
00-0003942,0
00-0003970,3
00-0003977,3
00-0004046,1
00-0004073,7
00-0004242,1
00-0004318,2
00-0004337,4
00-0004353,1
00-0004396,7
00-0004456,1
00-0004470,2
00-0004472,2
00-0004505,2
00-0004609,0
00-0004717,1
00-0004757,4
00-0004808,1
00-0004851,3
00-0004874,0
00-0004892,0
00-0004901,2
00-0004978,2
00-0004989,1
00-0005082,5
00-0005105,0
00-0005150,4
00-0005155,4
00-0005202,1
00-0005263,3
00-0005296,1
00-0005322,7
00-0005395,0
00-0005417,1
00-0005504,0
00-0005560,0
00-0005627,2
00-0005939,0
00-0005962,2
00-0005967,1
00-0006034,5
00-0006051,3
00-0006063,3
00-0006148,1
00-0006149,0
00-0006178,4
00-0006251,0
00-0006316,11
00-0006356,3
00-0006373,6
00-0006398,4
00-0006459,5
00-0006633,4
00-0006636,0
00-0006668,1
00-0006684,2
00-0006708,5
00-0006719,1
00-0006766,1
00-0006775,0
00-0006795,2
00-0006843,0
00-0006881,2
00-0006915,6
00-0006920,0
00-0006927,3
00-0006953,0
00-0006960,0
00-0007007,3
00-0007023,1
00-0007026,0
00-0007030,5
00-0007075,3
00-0007089,2
00-0007095,5
00-0007108,5
00-0007283,4
00-0007296,1
00-0007325,0
00-0007375,0
00-0007433,2
00-0007512,0
00-0007586,0
00-0007590,0
00-0007611,6
00-0007614,0
00-0007652,1
00-0008041,2
00-0008063,1
00-0008075,4
00-0008115,0
00-0008124,5
00-0008126,3
00-0008202,4
00-0008265,2
00-0008284,1
00-0008435,0
00-0008494,0
00-0008541,0
00-0008603,3
00-0008629,1
00-0008664,2
00-0008761,4
00-0008764,0
00-0008819,0
00-0008823,2
00-0008853,1
00-0008874,0
00-0008966,1
00-0009001,2
00-0009056,2
00-0009106,1
00-0009148,1
00-0009173,2
00-0009298,2
00-0009305,4
00-0009357,2
00-0009418,1
00-0009438,2
00-0009477,0
00-0009539,1
00-0009561,3
00-0009612,0
00-0009659,4
00-0009687,4
00-0009823,2
00-0009849,1
00-0009886,3
00-0009889,6
00-0009971,1
00-0009978,4
00-0010019,2
00-0010024,0
00-0010028,1
00-0010031,1
00-0010173,2
00-0010175,1
00-0010188,5
00-0010259,1
00-0010264,3
00-0010366,2
00-0010381,3
00-0010421,0
00-0010479,3
00-0010486,1
00-0010491,0
00-0010535,1
00-0010634,1
00-0010699,2
00-0010746,0
00-0010749,1
00-0010784,1
00-0010785,0
00-0010792,0
00-0010810,3
00-0010844,0
00-0010872,6
00-0010874,3
00-0010944,2
00-0010970,1
00-0011038,2
00-0011053,1
00-0011186,2
00-0011249,0
00-0011326,6
00-0011372,1
00-0011390,0
00-0011415,1
00-0011502,0
00-0011613,1
00-0011886,0
00-0012056,3
00-0012102,6
00-0012196,3
00-0012274,4
00-0012333,2
00-0012340,2
00-0012463,1
00-0012578,0
00-0012607,4
00-0012614,0
00-0012666,4
00-0012679,1
00-0012689,0
00-0012808,1
00-0012871,5
00-0012909,5
00-0012925,5
00-0013029,4
00-0013102,5
00-0013111,0
00-0013118,3
00-0013126,3
00-0013141,0
00-0013162,0
00-0013235,0
00-0013255,2
00-0013261,4
00-0013282,4
00-0013322,4
00-0013405,5
00-0013535,2
00-0013644,2
00-0013835,2
00-0013845,5
00-0013858,1
00-0013860,6
00-0013935,2
00-0013979,2
00-0013995,1
00-0014004,6
00-0014071,1
00-0014116,4
00-0014132,1
00-0014260,0
00-0014324,7
00-0014358,4
00-0014504,1
00-0014512,2
00-0014539,1
00-0014596,1
00-0014618,0
00-0014619,9
00-0014637,1
00-0014724,4
00-0014725,0
00-0014743,0
00-0014886,1
00-0014891,1
00-0014894,5
00-0014902,0
00-0014980,3
00-0014991,0
00-0015002,3
00-0015070,1
00-0015080,4
00-0015106,1
00-0015111,9
00-0015124,0
00-0015132,2
00-0015151,2
00-0015173,1
00-0015267,3
00-0015270,7
00-0015314,0
00-0015336,3
00-0015437,0
00-0015460,3
00-0015468,2
00-0015474,5
00-0015477,2
00-0015487,0
00-0015495,3
00-0015577,1
00-0015725,2
00-0015781,1
00-0015795,5
00-0015817,2
00-0015847,2
00-0015915,1
00-0016044,0
00-0016061,2
00-0016082,0
00-0016112,6
00-0016210,0
00-0016242,2
00-0016248,1
00-0016263,3
00-0016269,4
00-0016271,4
00-0016295,1
00-0016340,2
00-0016344,4
00-0016355,5
00-0016431,1
00-0016549,1
00-0016577,4
00-0016591,3
00-0016599,7
00-0016624,1
00-0016635,0
00-0016643,0
00-0016667,4
00-0016710,0
00-0016924,5
00-0016956,5
00-0016960,4
00-0017012,4
00-0017013,0
00-0017026,1
00-0017033,1
00-0017077,1
00-0017241,2
00-0017255,1
00-0017259,3
00-0017277,8
00-0017378,2
00-0017421,0
00-0017567,8
00-0017585,2
00-0017619,0
00-0017630,0
00-0017670,1
00-0017698,2
00-0017710,5
00-0017712,0
00-0017762,0
00-0017766,0
00-0017813,3
00-0017825,2
00-0017899,7
00-0017948,0
00-0017961,4
00-0018036,1
00-0018093,4
00-0018186,1
00-0018212,1
00-0018228,3
00-0018229,7
00-0018259,0
00-0018351,4
00-0018405,4
00-0018503,8
00-0018605,1
00-0018970,0
00-0019104,5
00-0019246,2
00-0019387,3
00-0019456,3
00-0019459,0
00-0019467,2
00-0019469,0
00-0019506,2
00-0019509,1
00-0019537,3
00-0019538,4
00-0019545,3
00-0019546,4
00-0019560,1
00-0019562,0
00-0019573,2
00-0019585,0
00-0019586,0
00-0019593,1
00-0019605,2
00-0019613,0
00-0019617,0
00-0019626,2
00-0019630,0
00-0019635,1
00-0019645,0
00-0019648,2
00-0019651,1
00-0019653,0
00-0019674,0
00-0019695,1
00-0019696,0
00-0019698,1
00-0019699,0
00-0019700,2
00-0019706,3
00-0019710,1
00-0019724,1
00-0019733,4
00-0019809,1
00-0019940,4
00-0019986,3
00-0019993,2
00-0020006,0
00-0020055,0
00-0020107,0
00-0020139,0
00-0020199,0
00-0020280,0
00-0020286,2
00-0020301,1
00-0020329,2
00-0020380,0
00-0020382,3
00-0020384,0
00-0020426,4
00-0020442,2
00-0020467,2
00-0020469,1
00-0020470,0
00-0020478,0
00-0020489,3
00-0020491,1
00-0020492,1
00-0020495,2
00-0020504,0
00-0020505,2
00-0020506,1
00-0020515,4
00-0020524,2
00-0020528,3
00-0020535,4
00-0020571,1
00-0020653,0
00-0020840,4
00-0020867,2
00-0020873,1
00-0021081,2
00-0021085,2
00-0021092,3
00-0021099,1
00-0021144,1
00-0021156,0
00-0021186,2
00-0021187,1
00-0021189,2
00-0021194,2
00-0021197,2
00-0021214,0
00-0021219,1
00-0021222,1
00-0021224,0
00-0021225,0
00-0021228,0
00-0021229,1
00-0021230,0
00-0021246,3
00-0021257,2
00-0021259,2
00-0021261,2
00-0021262,2
00-0021269,0
00-0021332,0
00-0021340,2
00-0021344,5
00-0021377,4
00-0021381,3
00-0021484,0
00-0021512,2
00-0021542,0
00-0021544,1
00-0021604,2
00-0021645,0
00-0021654,0
00-0021679,0
00-0021684,4
00-0021706,4
00-0021891,3
00-0021949,2
00-0021951,0
00-0021952,0
00-0021956,1
00-0021977,2
00-0021989,0
00-0021990,1
00-0021994,2
00-0021995,2
00-0022002,0
00-0022008,1
00-0022010,1
00-0022034,1
00-0022040,2
00-0022045,8
00-0022046,1
00-0022047,1
00-0022059,4
00-0022067,4
00-0022077,1
00-0022080,4
00-0022081,0
00-0022085,0
00-0022119,2
00-0022128,3
00-0022137,0
00-0022139,2
00-0022147,2
00-0022155,1
00-0022158,0
00-0022161,6
00-0022167,2
00-0022169,2
00-0022341,2
00-0022527,0
00-0022539,3
00-0022610,0
00-0022695,4
00-0022707,1
00-0022710,0
00-0022712,4
00-0022722,1
00-0022723,2
00-0022735,0
00-0022778,0
00-0022780,1
00-0022793,4
00-0022839,3
00-0022842,0
00-0022863,1
00-0022867,0
00-0022906,1
00-0022911,0
00-0022923,3
00-0022927,5
00-0022930,1
00-0023013,0
00-0023215,1
00-0023259,5
00-0023287,1
00-0023327,0
00-0023368,6
00-0023404,0
00-0023405,0
00-0023441,4
00-0023443,2
00-0023444,2
00-0023445,3
00-0023449,5
00-0023466,0
00-0023477,0
00-0023478,0
00-0023494,4
00-0023509,1
00-0023523,2
00-0023559,2
00-0023566,2
00-0023569,0
00-0023579,3
00-0023593,0
00-0023624,1
00-0023648,0
00-0023656,3
00-0023693,0
00-0023750,0
00-0024030,3
00-0024061,6
00-0024102,1
00-0024183,4
00-0024220,0
00-0024223,0
00-0024228,0
00-0024229,0
00-0024232,2
00-0024234,1
00-0024235,3
00-0024237,0
00-0024239,5
00-0024247,0
00-0024249,2
00-0024250,0
00-0024257,1
00-0024258,3
00-0024277,1
00-0024278,2
00-0024306,4
00-0024330,1
00-0024331,0
00-0024338,5
00-0024341,2
00-0024349,1
00-0024360,1
00-0024387,0
00-0024410,2
00-0024421,4
00-0024429,0
00-0024495,2
00-0025401,1
00-0025402,0
00-0025405,3
00-0025406,0
00-0025407,0
00-0025408,4
00-0025420,2
00-0025433,0
00-0025434,2
00-0025435,1
00-0025470,0
00-0025472,3
00-0025489,3
00-0025495,2
00-0025513,1
00-0025555,2
00-0025557,1
00-0025697,0
00-0025753,2
00-0025828,2
00-0025920,0
00-0025942,0
00-0026105,1
00-0026142,2
00-0026145,0
00-0026151,0
00-0026156,2
00-0026160,2
00-0026217,1
00-0026232,0
00-0026233,1
00-0026240,0
00-0026243,2
00-0026257,1
00-0026261,0
00-0026280,3
00-0026282,0
00-0026283,1
00-0026307,1
00-0026330,0
00-0026369,0
00-0026502,1
00-0026618,3
00-0026672,0
00-0026857,1
00-0026910,0
00-0026935,0
00-0026964,1
00-0026989,1
00-0026990,3
00-0026994,1
00-0027002,2
00-0027008,0
00-0027010,1
00-0027017,0
00-0027018,0
00-0027022,1
00-0027023,0
00-0027044,0
00-0027060,1
00-0027081,1
00-0027136,3
00-0027236,2
00-0027245,0
00-0027256,0
00-0027375,1
00-0027440,0
00-0027560,2
00-0027647,4
00-0027653,0
00-0027662,2
00-0027684,0
00-0027686,3
00-0027701,3
00-0027720,1
00-0027743,2
00-0027745,0
00-0027762,0
00-0027808,1
00-0027835,0
00-0027855,4
00-0027856,0
00-0027860,1
00-0027867,3
00-0027872,5
00-0027882,2
00-0027915,0
00-0027945,0
00-0027952,1
00-0027954,2
00-0027958,1
00-0027975,1
00-0027980,2
00-0027988,1
00-0028003,0
00-0028015,0
00-0028024,0
00-0028027,0
00-0028037,1
00-0028041,0
00-0028075,1
00-0028092,2
00-0028128,1
00-0028171,3
00-0028224,2
00-0028278,2
00-0028445,0
00-0028834,1
00-0028836,0
00-0028908,1
00-0029040,1
00-0029061,0
00-0029261,2
00-0029284,1
00-0029285,5
00-0029303,0
00-0029410,0
00-0029412,3
00-0029529,0
00-0029560,1
00-0029570,1
00-0029577,0
00-0029585,1
00-0029627,1
00-0029629,0
00-0029653,2
00-0029657,2
00-0029681,3
00-0029747,1
00-0029869,0
00-0029890,1
00-0029901,1
00-0030010,0
00-0030064,0
00-0030090,2
00-0030148,1
00-0030161,0
00-0030170,0
00-0030387,1
00-0030402,0
00-0030421,1
00-0030434,0
00-0030442,0
00-0030448,0
00-0030463,0
00-0030500,2
00-0030511,2
00-0030528,2
00-0030541,0
00-0030575,1
00-0030577,1
00-0030665,1
00-0030761,0
00-0030946,1
00-0030986,0
00-0031130,0
00-0031241,0
00-0031269,1
00-0031270,2
00-0031296,1
00-0031298,2
00-0031308,0
00-0031346,1
00-0031388,1
00-0031389,1
00-0031411,1
00-0031500,1
00-0031555,0
00-0031587,0
00-0031608,0
00-0031785,2
00-0031898,0
00-0031904,0
00-0031938,1
00-0032107,1
00-0032127,1
00-0032162,1
00-0032197,0
00-0032320,1
00-0032401,0
00-0032463,0
00-0032496,0
00-0032774,0
00-0032933,0
00-0033064,1
00-0033109,0
00-0033503,0
00-0033784,0
00-0033892,0
00-0033913,0
00-0034091,0
00-0034382,0
00-0034887,0
